Erwachsene Bezirksoberliga [12];Erwachsene 1. Bezirksliga 1 [12];Erwachsene 1. Bezirksliga 2 [12];Erwachsene 1. Bezirksliga 3 [12];Erwachsene 2. Bezirksliga 1 [12];Erwachsene 2. Bezirksliga 2 [12];Erwachsene 2. Bezirksliga 3 [12];Erwachsene 1. Bezirksklasse 1 [12];Erwachsene 1. Bezirksklasse 2 [12];Erwachsene 1. Bezirksklasse 3 [12];Erwachsene 1. Bezirksklasse 4 [12];Erwachsene 1. Bezirksklasse 5 [12];Erwachsene 2. Bezirksklasse 1 [12];Erwachsene 2. Bezirksklasse 2 [12];Erwachsene 2. Bezirksklasse 3 [12];Erwachsene 2. Bezirksklasse 4 [12];Erwachsene 2. Bezirksklasse 5 [12];Erwachsene 2. Bezirksklasse 6 [12];Erwachsene 3. Bezirksklasse 1 [12];Erwachsene 3. Bezirksklasse 2 [12];Erwachsene 3. Bezirksklasse 3 [12];Erwachsene 3. Bezirksklasse 4 [12];Erwachsene 3. Bezirksklasse 5 [12];Erwachsene 3. Bezirksklasse 6 [12];Erwachsene 3. Bezirksklasse 7 [12];Erwachsene 3. Bezirksklasse 8 [12];Erwachsene 4. Bezirksklasse 1 [12];Erwachsene 4. Bezirksklasse 2 [12];Erwachsene 4. Bezirksklasse 3 [12];Erwachsene 4. Bezirksklasse 4 [12];Erwachsene 4. Bezirksklasse 5 [12];Erwachsene 4. Bezirksklasse 6 [12];Damen Bezirksoberliga [10];Damen 1. Bezirksliga [10];Jugend 19 Bezirksoberliga [10];Jugend 19 1. Bezirksliga 1 [10];Jugend 19 1. Bezirksliga 2 [10];Jugend 19 2. Bezirksliga 1 [10];Jugend 19 2. Bezirksliga 2 [10];Jugend 19 2. Bezirksliga 3 [10];Jugend 19 2. Bezirksliga 4 [10];Jugend 15 1. Bezirksliga [10];Jugend 15 2. Bezirksliga 1 [10];Jugend 15 2. Bezirksliga 2 [10];Jugend 15 2. Bezirksliga 3 [10];Jugend 13 2. Bezirksliga 1 [10];Jugend 13 2. Bezirksliga 2 [10];Jugend 13 2. Bezirksliga 3 [10];Jugend 13 2. Bezirksliga 4 [10];
TTC Schwalbe Bergneustadt I;SV Union Velbert I;Borussia Duesseldorf II;SV Werder Bremen IV;TuS Uentrop I;TG 1953 Langenselbold III;TSV Bargteheide I;SV Emmerke II;TSV Windsbach III;SV Union Salzgitter II;TTC Kist III;Giessener SV I;SV Emmerke III;TTC Salmuenster 1950 I;SU Neckarsulm III;SSV Schoenmuenzach III;SSV Schoenmuenzach II;TTV 1951/66 Stadtallendorf II;TSV Windsbach V;SC Poppenbuettel IV;ASC Gruenwettersbach VII;SV Union Velbert V;TG 1953 Langenselbold VII;TuS Fuerstenfeldbruck II;Post SV Zeulenroda I;SV Friedrichsgabe II;SV Emmerke V;Fuechse Berlin III;TuS Celle III;TuS Fuerstenfeldbruck IV;TSV Dachau 65 I;SV DJK Kolbermoor IV;TTC Fortuna Passau II;SV Werder Bremen I;TTC Schwalbe Bergneustadt I;MTV Eintracht Bledeln I;SpVgg Thalkirchen I;TSV Graefelfing I;SV Arminia Hannover I;TG 1953 Langenselbold I;TTC Altena II;TTF Liebherr Ochsenhausen I;TTC G.-W. Staffel 1953 I;Eintracht Frankfurt I;Borussia Duesseldorf II;TTF Liebherr Ochsenhausen I;TSV Bad Koenigshofen I;TTK Grossburgwedel I;SV Friedrichsgabe I;
1. FC Saarbruecken-TT I;TTF Liebherr Ochsenhausen III;TTSF Hohberg I;BV Borussia Dortmund II;Oldenburger TB I;TTC Zugbruecke Grenzau III;TTK Grossburgwedel I;Oldenburger TB II;TTC Langen 1950 I;TG 1953 Langenselbold V;TTC SR Hohenstein-Ernstthal II;TSV Korntal II;TTC Waldniel I;Sportclub Niestetal III;TTC Schwalbe Bergneustadt IV;MSV Hettstedt I;TTC Kist V;Post SV Muehlhausen V;SV Niklashausen III;TV Etwashausen I;FC Bayern Muenchen II;ASC Gruenwettersbach VI;TTSF Hohberg III;TTC GW Fritzdorf IV;TTC Zugbruecke Grenzau VII;DJK Offenburg III;TTC G.-W. Staffel 1953 V;SV Niklashausen IV;TTC indeland Juelich IV;TTC Kist VI;TTV 1951/66 Stadtallendorf IV;TTC Altena III;Oldenburger TB I;1. FSV Mainz 05 I;1. FC Koeln I;Borussia Duesseldorf II;MTV Jever I;TTSG Urania-Bramfeld I;ASC Gruenwettersbach II;USV Jena I;TTG Bingen/Muenster-Sarmsheim III;TTC Schwalbe Bergneustadt I;SC Arminia Ochtrup I;TG 1953 Langenselbold II;Polizei SV GW Hildesheim I;TTC Schwalbe Bergneustadt I;TG 1953 Langenselbold I;Borussia Duesseldorf I;TTS Borsum I;
SV Werder Bremen III;TTC G.-W. Staffel 1953 I;VfL Kellinghusen I;TTV 1951/66 Stadtallendorf I;TTF Illtal I;USV Jena I;SpVgg Thalkirchen II;TTC 1946 Weinheim II;SV Union Velbert II;TTSF Hohberg II;TTC Zugbruecke Grenzau V;SV Werder Bremen VI;SC Arminia Ochtrup I;TTSG Urania-Bramfeld II;TV 06 Limbach II;MTV Tostedt IV;Post SV Muehlhausen IV;Giessener SV II;SV Arminia Hannover III;MTV Eintracht Bledeln III;TTVg WRW Kleve III;MTV Tostedt V;TTC Muehlhausen IV;TTC SR Hohenstein-Ernstthal IV;TTC GW Bad Hamm I;TTG Bingen/Muenster-Sarmsheim IV;Fuechse Berlin II;SV Arminia Hannover V;SV Union Salzgitter IV;VfL Kellinghusen III;Eintracht Frankfurt II;TSV Korntal III;TTC 1957 Lampertheim I;MTV Engelbostel-Schulenburg I;TTG Bingen/Muenster-Sarmsheim I;1. FC Koeln II;SV Werder Bremen II;TTF Liebherr Ochsenhausen III;ASC Gruenwettersbach I;TSV Bad Koenigshofen I;TSV Korntal I;SV Werder Bremen I;MTV Eintracht Bledeln I;TuS Uentrop I;ESV Weil I;TTC G.-W. Staffel 1953 I;TTC Schwalbe Bergneustadt II;TTC Zugbruecke Grenzau I;ESV Weil I;
TTF Liebherr Ochsenhausen II;TTC 1946 Weinheim I;TTC GW Fritzdorf II;TTS Borsum II;SU Neckarsulm I;TSV Bad Koenigshofen II;TTS Borsum III;1. FC Koeln II;TTC RW 1921 Biebrich I;TTC GW Fritzdorf III;TSV Schwarzenbek I;TSV 1860 Bad Rodach II;SC Poppenbuettel III;TSV Windsbach IV;SV Union Velbert III;TG 1953 Langenselbold VI;VfR Birkmannsweiler II;DJK Offenburg II;TTSG Urania-Bramfeld IV;SV DJK Eggolsheim II;TTF Illtal III;TTC Schwalbe Bergneustadt V;SSV Schoenmuenzach V;1. FSV Mainz 05 I;SpVgg Thalkirchen III;Polizei SV GW Hildesheim IV;SV DJK Eggolsheim IV;Sportclub Niestetal V;TSV Bad Koenigshofen V;TV 1879 Hilpoltstein VI;TV 1879 Hilpoltstein V;TTC Bad Homburg III;USV Jena I;SpVgg Thalkirchen I;Eintracht Frankfurt I;TuS Uentrop I;Post SV Muehlhausen I;TTC Waldniel I;TTC RhoenSprudel Fulda-Maberzell III;Borussia Duesseldorf IV;TTC Altena I;TTC Altena I;SV Union Velbert I;SSV Schoenmuenzach I;SV Werder Bremen II;TTSG Urania-Bramfeld I;Spvg. Oldendorf I;TuS Fuerstenfeldbruck I;Polizei SV GW Hildesheim II;
TTC RhoenSprudel Fulda-Maberzell II;SC Poppenbuettel I;SV Union Salzgitter I;SV DJK Kolbermoor I;TTC 1957 Lampertheim I;DJK Sportbund Stuttgart III;SV Motor Falkensee I;TTC G.-W. Staffel 1953 II;TTVg WRW Kleve I;TTC Muehlhausen II;DJK SpVgg Effeltrich I;TTC Bad Homburg II;MTV Eintracht Bledeln II;TTVg WRW Kleve II;TTC Langen 1950 II;TTC Muehlhausen III;TV 1879 Hilpoltstein III;BV Borussia Dortmund V;SV Arminia Hannover IV;SV DJK Eggolsheim III;TTC RW 1921 Biebrich II;ASC Gruenwettersbach VIII;TSV Watenbuettel III;SSV Schoenmuenzach VI;SV Werder Bremen VIII;ESV Weil II;TTC Waldniel II;TTC indeland Juelich III;TTC GW Fritzdorf V;DJK Sportbund Stuttgart V;ttc berlin eastside IV;ESV Weil III;Borussia Duesseldorf I;SV Friedrichsgabe I;Borussia Duesseldorf I;Sportclub Niestetal I;Borussia Duesseldorf III;SC Arminia Ochtrup I;TG 1953 Langenselbold II;SpVgg Thalkirchen II;SV Werder Bremen III;Post SV Muehlhausen I;TSV Windsbach I;TTC RhoenSprudel Fulda-Maberzell I;TTS Borsum I;TSV Windsbach I;TTC RhoenSprudel Fulda-Maberzell I;Eintracht Frankfurt I;DJK Offenburg I;
BV Borussia Dortmund I;1. FC Koeln I;TTC Langweid I;MTV Jever I;1. FC Saarbruecken-TT II;SSV Schoenmuenzach I;SV Friedrichsgabe I;TTC 1957 Lampertheim II;TV 06 Limbach I;TSV Watenbuettel II;TTC Kist II;SV DJK Kolbermoor II;TTSG Urania-Bramfeld III;SV Niklashausen II;BSC Rapid Chemnitz II;SB Versbach I;TTC SR Hohenstein-Ernstthal III;SV Werder Bremen VII;TSV Windsbach VI;TTC G.-W. Staffel 1953 IV;TTC 1957 Lampertheim III;TSV 1909 Langstadt II;LTTV Leutzscher Fuechse 1990 II;MSV Hettstedt II;BV Borussia Dortmund VI;BV Borussia Dortmund VII;Fuechse Berlin IV;Hertha BSC Berlin II;TTSF Hohberg IV;SV Siek III;ESV Weil IV;SV DJK Kolbermoor V;TTC Oggersheim I;;TTC RhoenSprudel Fulda-Maberzell I;Sportclub Niestetal II;TTG Bingen/Muenster-Sarmsheim II;Oldenburger TB I;TuS Uentrop II;TTC Zugbruecke Grenzau I;TTC Bad Homburg I;SV DJK Holzbuettgen I;Sportclub Niestetal I;TuS Celle I;TSV Korntal I;SV DJK Eggolsheim I;TTC indeland Juelich I;1. FSV Mainz 05 I;Polizei SV GW Hildesheim I;
Post SV Muehlhausen II;Sportclub Niestetal I;TTC Muehlhausen I;ttc berlin eastside I;TSV Windsbach II;TSV Watenbuettel I;ESV Weil I;SC Poppenbuettel II;ASC Gruenwettersbach IV;LTTV Leutzscher Fuechse 1990 I;Eintracht Frankfurt I;ttc berlin eastside II;TSV Graefelfing II;TTF Illtal II;TSV 1909 Langstadt I;TTF Rastatt I;TTC Kist IV;ttc berlin eastside III;TTC Boerde Magdeburg IV;1. FC Koeln III;SV Emmerke IV;TSV 1909 Langstadt III;MTV Tostedt VI;MTV Jever II;DJK SpVgg Effeltrich II;SV SCHOTT Jena II;MTV Eintracht Bledeln IV;TTF Illtal IV;TuS Celle IV;SSV Schoenmuenzach VII;SV Motor Falkensee II;TTC Altena II;TV 1879 Hilpoltstein I;;TTF Liebherr Ochsenhausen II;TTC RhoenSprudel Fulda-Maberzell II;TTS Borsum II;TSV Windsbach I;TTC indeland Juelich I;DJK Sportbund Stuttgart I;TTK Grossburgwedel I;TuS Fuerstenfeldbruck I;TTC Boerde Magdeburg I;TTC Muehlhausen I;TTC Bad Homburg I;Sportclub Niestetal I;SV Union Salzgitter I;DJK Sportbund Stuttgart I;SV DJK Kolbermoor I;
Borussia Duesseldorf I;BSC Rapid Chemnitz I;TTC Kist I;SpVgg Thalkirchen I;TTSG Urania-Bramfeld I;MTV Tostedt II;TSV Korntal I;FC Bayern Muenchen I;SU Neckarsulm II;TG 1953 Langenselbold IV;BV Borussia Dortmund III;DJK Offenburg I;SV Union Velbert IV;SV Arminia Hannover II;TTC indeland Juelich II;TSV Bad Koenigshofen III;Borussia Duesseldorf V;TTG Bingen/Muenster-Sarmsheim III;Kieler TTK Gruen-Weiss I;TTC 1946 Weinheim III;TSV Graefelfing III;TuS Uentrop IV;TuS Celle II;DJK Sportbund Stuttgart IV;VfR Birkmannsweiler IV;TSV Bargteheide II;Oldenburger TB IV;VfR Fehlheim 1929 II;TG 1953 Langenselbold IX;TuS Fuerstenfeldbruck III;TTC Zugbruecke Grenzau VIII;TTG Bingen/Muenster-Sarmsheim V;TTC G.-W. Staffel 1953 I;;;TTC Muehlhausen I;Eintracht Frankfurt II;TSV Windsbach II;SV DJK Eggolsheim I;TTC SR Hohenstein-Ernstthal I;SV Friedrichsgabe I;Borussia Duesseldorf I;TSV Graefelfing I;SV Siek I;SV DJK Kolbermoor I;SV Arminia Hannover I;TG 1953 Langenselbold II;Borussia Duesseldorf II;TTG Bingen/Muenster-Sarmsheim I;
TTC Zugbruecke Grenzau II;MTV Tostedt I;DJK Franz-Sales-Haus Essen I;Post SV Muehlhausen III;ASC Gruenwettersbach III;TV 1879 Hilpoltstein I;TTG Bingen/Muenster-Sarmsheim I;MTV Eintracht Bledeln I;SV Niklashausen I;TTC Langweid II;SV Siek I;TTG Bingen/Muenster-Sarmsheim II;TTF Liebherr Ochsenhausen IV;SV Arminia Hannover I;ASC Gruenwettersbach V;VfL Kellinghusen II;SSV Schoenmuenzach IV;TTC Altena I;TTC Boerde Magdeburg III;Fuechse Berlin I;TTC RhoenSprudel Fulda-Maberzell V;TTC Langweid III;TTF Rastatt II;TV 1879 Hilpoltstein IV;VfR Birkmannsweiler III;TSV 1860 Bad Rodach III;TTSG Urania-Bramfeld V;TTC Schwalbe Bergneustadt VII;TG 1953 Langenselbold VIII;LTTV Leutzscher Fuechse 1990 III;TTV 1951/66 Stadtallendorf III;Polizei SV GW Hildesheim V;TV Etwashausen I;;;;;1. FC Koeln III;Spvg. Oldendorf I;TuS Fuerstenfeldbruck I;;;SV DJK Eggolsheim I;SV Union Salzgitter I;BV Borussia Dortmund I;;;;TTC Bad Homburg I;
